feature,importance
byte_ratio,0.08251453694041398
total_bytes,0.07888455713138166
src_bytes,0.07375588462653562
same_srv_rate,0.059143232866309695
diff_srv_rate,0.04764788542856398
dst_bytes,0.04394004517052148
dst_host_diff_srv_rate,0.03878887670617763
service,0.037885747575387034
dst_host_srv_count,0.03744176764724879
flag,0.03585867754008736
count,0.031183735748665255
dst_host_same_src_port_rate,0.030598186666769615
protocol_type,0.030355437382889486
dst_host_same_srv_rate,0.030144929481987614
dst_host_rerror_rate,0.029907685149893455
dst_host_serror_rate,0.027516048143646374
dst_host_srv_diff_host_rate,0.02728851125641969
connection_intensity,0.02656482478845092
service_diversity,0.02432342171511432
dst_host_srv_serror_rate,0.023848174421870975
serror_rate,0.02179068028103943
srv_count,0.0216445935828022
dst_host_count,0.020688091225980757
logged_in,0.01722300229968144
srv_serror_rate,0.014997780367644643
dst_host_srv_rerror_rate,0.013253749266969211
duration,0.01307899432443145
rerror_rate,0.012731748408792643
wrong_fragment,0.010349494415315854
hot,0.0096769435739708
srv_diff_host_rate,0.006956245794692503
srv_rerror_rate,0.006493611008399326
num_compromised,0.0056238971654923595
is_guest_login,0.0026759633014190186
num_failed_logins,0.0018219010523741097
num_file_creations,0.0008893552144331071
root_shell,0.0008078233299100999
num_root,0.0005330930542245984
land,0.0004931213320133645
num_shells,0.00023904511712646596
num_access_files,0.0001894186632036458
urgent,0.0001446526940411204
is_host_login,9.532837247614508e-05
su_attempted,9.299765230832942e-06
num_outbound_cmds,0.0
